mlkem-gpu-sec Per-Kernel TVLA Report
============================================================
Class 0 CSV: experiments/traces/l2thrash/kyber1024_l2thrash_class0_n10000.csv
Class 1 CSV: experiments/traces/l2thrash/kyber1024_l2thrash_class1_n10000.csv
Kernels analysed: 27
Kernels leaking (|t|>=4.5): 0

Rank  Kernel                         |t|     Mean0     Mean1      Diff          p
--------------------------------------------------------------------------------
1     s_times_u                     4.14    11.970    11.083    -0.887   3.54e-05
2     generate_r                    3.03    16.417    15.763    -0.654   2.46e-03
3     v_minus_su                    2.47    12.068    11.512    -0.556   1.35e-02
4     generate_e1                   2.36    16.345    15.834    -0.511   1.83e-02
5     fwdntt_u                      2.35    13.054    12.535    -0.520   1.89e-02
6     ar_plus_e1                    2.32    12.037    11.516    -0.522   2.02e-02
7     intt_su                       2.17    13.370    12.894    -0.476   3.04e-02
8     poly_frommsg                  1.71    11.804    11.418    -0.386   8.66e-02
9     decode_t                      1.62    11.802    11.444    -0.358   1.06e-01
10    kdf                           1.21    16.134    15.864    -0.270   2.25e-01
11    compress_v                    1.18    11.835    11.573    -0.262   2.40e-01
12    intt_ar                       1.11    13.068    12.829    -0.239   2.67e-01
13    tr_plus_e2_plus_m             1.03    11.854    11.623    -0.231   3.01e-01
14    hash_coin                     0.96    16.381    16.166    -0.215   3.39e-01
15    decode_s                      0.92    11.892    11.688    -0.204   3.60e-01
16    poly_tomsg                    0.88    11.765    11.568    -0.196   3.80e-01
17    verify_cmov                   0.84    15.219    15.403    +0.184   4.03e-01
18    decompress_v                  0.80    11.766    11.587    -0.179   4.27e-01
19    a_times_r                     0.76    11.634    11.799    +0.165   4.49e-01
20    intt_tr                       0.66    13.135    12.989    -0.146   5.06e-01
21    generate_e2                   0.61    15.626    15.760    +0.134   5.40e-01
22    generate_at                   0.52    22.550    22.438    -0.112   6.06e-01
23    hash_ct                       0.45    48.117    48.195    +0.079   6.54e-01
24    compress_u                    0.28    11.887    11.824    -0.063   7.79e-01
25    decompress_u                  0.24    11.801    11.747    -0.054   8.08e-01
26    t_times_r                     0.23    11.556    11.506    -0.050   8.21e-01
27    fwdntt_r                      0.12    12.788    12.762    -0.026   9.06e-01
