mlkem-gpu-sec Per-Kernel TVLA Report
============================================================
Class 0 CSV: experiments/traces/l2thrash/kyber512_interleaved_class0_n100000.csv
Class 1 CSV: experiments/traces/l2thrash/kyber512_interleaved_class1_n100000.csv
Kernels analysed: 28
Kernels leaking (|t|>=4.5): 7

Rank  Kernel                         |t|     Mean0     Mean1      Diff          p
--------------------------------------------------------------------------------
1     decompress_u                 16.94    16.823    15.380    -1.443   2.47e-64 *** LEAK
2     intt_ar                      12.66    12.322    11.535    -0.787   1.02e-36 *** LEAK
3     fwdntt_u                     12.22    11.812    11.074    -0.738   2.61e-34 *** LEAK
4     hash_coin                     6.97    15.386    14.952    -0.434   3.11e-12 *** LEAK
5     total_decaps                  6.86   358.221   353.256    -4.966   7.11e-12 *** LEAK
6     hash_ct                       5.50    29.179    28.892    -0.287   3.90e-08 *** LEAK
7     decompress_v                  5.29    10.522    10.182    -0.340   1.22e-07 *** LEAK
8     s_times_u                     3.91    10.020     9.780    -0.240   9.30e-05
9     decode_t                      3.82    10.105    10.357    +0.252   1.36e-04
10    decode_s                      3.70    10.143     9.912    -0.231   2.15e-04
11    compress_v                    2.30    10.002    10.148    +0.145   2.17e-02
12    poly_tomsg                    1.99    10.128    10.003    -0.125   4.62e-02
13    intt_su                       1.59    11.364    11.267    -0.097   1.11e-01
14    generate_at                   1.52    20.910    20.818    -0.092   1.29e-01
15    a_times_r                     1.33    10.200    10.284    +0.084   1.85e-01
16    kdf                           1.16    14.412    14.341    -0.071   2.48e-01
17    intt_tr                       1.13    11.353    11.422    +0.069   2.57e-01
18    ar_plus_e1                    1.10    10.063     9.993    -0.069   2.70e-01
19    poly_frommsg                  1.03    10.135    10.070    -0.065   3.03e-01
20    t_times_r                     1.02    10.105    10.169    +0.064   3.08e-01
21    generate_e2                   0.73    14.276    14.231    -0.044   4.65e-01
22    tr_plus_e2_plus_m             0.62    10.148    10.109    -0.039   5.35e-01
23    v_minus_su                    0.48     9.990     9.960    -0.030   6.30e-01
24    generate_r                    0.37    16.816    16.795    -0.022   7.14e-01
25    fwdntt_r                      0.27    11.370    11.354    -0.017   7.88e-01
26    verify_cmov                   0.25    11.889    11.905    +0.016   8.02e-01
27    generate_e1                   0.09    14.335    14.330    -0.005   9.30e-01
28    compress_u                    0.06    10.222    10.218    -0.004   9.50e-01
