mlkem-gpu-sec Per-Kernel TVLA Report
============================================================
Class 0 CSV: experiments/traces/l2thrash/kyber768_interleaved_class0_n100000.csv
Class 1 CSV: experiments/traces/l2thrash/kyber768_interleaved_class1_n100000.csv
Kernels analysed: 28
Kernels leaking (|t|>=4.5): 9

Rank  Kernel                         |t|     Mean0     Mean1      Diff          p
--------------------------------------------------------------------------------
1     decompress_u                 20.44    17.426    15.638    -1.788   9.08e-93 *** LEAK
2     hash_ct                      13.65    38.169    37.555    -0.614   2.25e-42 *** LEAK
3     decompress_v                 10.14    11.610    10.914    -0.697   3.70e-24 *** LEAK
4     hash_coin                     7.88    15.825    15.312    -0.513   3.24e-15 *** LEAK
5     decode_s                      7.26    10.952    10.475    -0.477   3.96e-13 *** LEAK
6     total_decaps                  7.20   381.930   376.283    -5.647   6.12e-13 *** LEAK
7     t_times_r                     6.57    11.248    10.782    -0.466   5.17e-11 *** LEAK
8     poly_tomsg                    4.94    10.903    10.573    -0.330   7.65e-07 *** LEAK
9     fwdntt_u                      4.77    11.950    11.644    -0.306   1.86e-06 *** LEAK
10    intt_ar                       4.13    12.127    12.403    +0.277   3.68e-05
11    generate_e1                   3.88    14.987    14.741    -0.245   1.06e-04
12    compress_u                    3.58    10.743    10.985    +0.242   3.48e-04
13    s_times_u                     3.54    10.695    10.468    -0.228   4.04e-04
14    decode_t                      2.98    10.671    10.477    -0.194   2.86e-03
15    v_minus_su                    2.87    10.636    10.451    -0.186   4.10e-03
16    poly_frommsg                  2.34    10.652    10.499    -0.153   1.95e-02
17    intt_tr                       2.33    11.850    12.000    +0.150   1.97e-02
18    ar_plus_e1                    1.82    10.779    10.659    -0.120   6.88e-02
19    generate_e2                   1.71    14.943    14.831    -0.112   8.69e-02
20    compress_v                    1.62    10.712    10.820    +0.107   1.04e-01
21    tr_plus_e2_plus_m             1.48    10.651    10.748    +0.097   1.40e-01
22    generate_r                    1.38    14.956    15.044    +0.089   1.68e-01
23    a_times_r                     1.30    10.875    10.961    +0.086   1.94e-01
24    verify_cmov                   0.86    13.453    13.511    +0.058   3.88e-01
25    generate_at                   0.84    21.514    21.570    +0.055   4.01e-01
26    intt_su                       0.33    12.040    12.019    -0.021   7.45e-01
27    kdf                           0.10    14.894    14.887    -0.006   9.20e-01
28    fwdntt_r                      0.09    11.925    11.931    +0.006   9.29e-01
