gpu_us,wall_us
598.016052,737.527344
600.063965,773.828125
599.039978,783.785156
598.016052,780.761719
600.063965,782.761719
599.039978,782.722656
599.039978,783.351562
599.039978,783.523438
599.039978,781.269531
600.063965,783.132812
599.039978,784.027344
599.039978,784.156250
599.039978,782.113281
599.039978,782.359375
599.039978,781.832031
596.992004,784.976562
599.039978,782.453125
598.016052,782.050781
598.112000,780.742188
599.039978,784.214844
599.039978,783.484375
598.016052,782.171875
598.016052,781.609375
598.016052,783.777344
598.016052,780.660156
599.039978,784.667969
598.016052,781.910156
599.039978,784.335938
598.016052,782.582031
600.063965,785.234375
600.063965,783.828125
599.039978,784.042969
599.039978,782.863281
598.016052,782.101562
596.992004,780.257812
598.016052,782.453125
598.016052,780.941406
599.039978,782.882812
598.016052,781.351562
599.039978,784.539062
601.088013,783.984375
599.039978,782.093750
599.039978,782.050781
598.016052,783.414062
598.112000,781.761719
599.039978,783.265625
599.039978,783.066406
599.071960,783.003906
598.016052,782.355469
598.016052,784.214844
599.039978,783.062500
599.039978,784.542969
598.016052,781.539062
599.039978,782.605469
599.039978,782.062500
598.047974,785.605469
600.063965,783.546875
599.039978,782.492188
598.016052,781.964844
598.016052,782.183594
599.039978,781.890625
598.016052,782.164062
600.063965,782.492188
598.016052,782.953125
598.016052,782.742188
596.992004,784.648438
598.016052,780.972656
599.039978,784.453125
598.016052,781.824219
599.039978,782.402344
600.063965,783.593750
598.016052,783.574219
599.039978,782.839844
596.992004,783.914062
599.039978,782.640625
600.063965,785.054688
599.039978,782.453125
598.016052,783.226562
598.016052,781.488281
598.016052,783.542969
599.039978,781.128906
599.071960,781.933594
596.992004,781.750000
599.039978,786.246094
596.992004,780.792969
598.176025,782.640625
600.063965,782.875000
599.039978,783.542969
596.992004,782.460938
599.039978,781.992188
598.016052,780.781250
599.039978,783.976562
598.016052,781.398438
598.016052,782.742188
600.063965,782.511719
598.016052,782.894531
599.039978,782.511719
598.112000,781.191406
596.992004,780.238281
597.087952,781.972656
599.039978,783.042969
598.016052,784.003906
598.016052,782.984375
598.016052,782.753906
598.016052,781.718750
599.039978,781.941406
599.039978,781.839844
599.039978,784.828125
598.016052,782.171875
