timestamp_us,class
267.256,0
543.890,0
805.494,0
971.670,0
1127.634,0
1314.146,0
1548.412,0
1710.432,0
1955.050,0
2122.539,0
2288.066,0
2439.671,0
2590.969,0
2740.018,0
2892.427,0
3105.250,0
3263.013,0
3406.842,0
3551.759,0
3703.882,0
3854.155,0
4000.065,0
4150.481,0
4300.855,0
4534.857,0
4686.067,0
4837.425,0
4989.484,0
5224.438,0
5401.783,0
5563.335,0
5726.127,0
5875.728,0
6027.064,0
6176.303,0
6326.679,0
6476.275,0
6629.525,0
6779.225,0
6929.756,0
7079.396,0
7230.788,0
7378.654,0
7522.280,0
7668.487,0
7850.366,0
8867.948,0
9063.371,0
9235.256,0
9392.762,0
9543.555,0
9815.517,0
9967.888,0
10128.641,0
10276.574,0
10422.412,0
10573.829,0
10724.870,0
10876.615,0
11026.102,0
11172.823,0
11337.483,0
11484.569,0
11631.900,0
11872.310,0
12031.603,0
12186.110,0
12337.957,0
12489.930,0
12640.025,0
12788.965,0
12942.005,0
13090.431,0
13243.659,0
13396.029,0
13545.926,0
13693.948,0
13844.813,0
13994.527,0
14156.086,0
14304.074,0
14454.738,0
14605.670,0
14818.374,0
14980.648,0
15136.083,0
15289.298,0
15440.527,0
15594.071,0
16037.682,0
16191.960,0
16337.285,0
16488.334,0
16633.657,0
16783.550,0
16935.770,0
17085.469,0
17236.752,0
17389.611,0
17552.525,0
17701.731,0
17853.123,0
18003.254,0
18240.596,0
18400.934,0
18583.593,0
18741.273,0
18892.752,0
19044.782,0
19300.473,0
19448.451,0
19597.810,0
19748.645,0
19901.601,0
20053.035,0
20201.971,0
20358.594,0
20549.824,0
20794.000,0
21049.594,0
21221.703,0
21398.445,0
21552.783,0
21701.916,0
21853.637,0
21994.581,0
22168.773,0
22358.517,0
22502.954,0
22675.239,0
22823.969,0
22972.225,0
23492.948,0
23643.462,0
23793.427,0
23940.570,0
24091.579,0
24241.874,0
24440.056,0
24591.522,0
24745.880,0
24897.393,0
25051.198,0
25303.303,0
25470.128,0
25634.407,0
25787.413,0
25941.576,0
26097.288,0
26249.826,0
26393.873,0
26566.247,0
26749.316,0
26993.277,0
27142.389,0
27373.248,0
27526.721,0
27749.747,0
27998.438,0
28164.427,0
28410.213,0
28590.574,0
28863.560,0
29121.133,0
29314.619,0
29545.251,0
29719.874,0
29872.347,0
30045.412,0
30190.931,0
30377.104,0
32005.843,0
36576.229,0
38185.914,0
40468.679,0
40671.840,0
40830.954,0
40988.082,0
41187.580,0
41354.368,0
41513.043,0
41673.675,0
41828.541,0
41993.102,0
42293.715,0
42476.695,0
42629.866,0
42803.990,0
42963.667,0
43343.435,0
43534.338,0
43690.016,0
43845.643,0
44003.248,0
44158.134,0
44311.724,0
44460.827,0
44610.087,0
44770.367,0
44920.322,0
45074.854,0
45266.675,0
45425.937,0
45578.907,0
45730.395,0
45878.526,0
46043.552,0
46221.184,0
46365.156,0
46512.911,0
46651.963,0
46790.246,0
47255.880,0
47427.702,0
47583.995,0
47738.428,0
47887.193,0
48585.392,0
48747.179,0
48891.707,0
49053.594,0
49228.254,0
49386.027,0
49535.129,0
49688.879,0
49841.615,0
49994.818,0
50147.984,0
50298.145,0
50451.518,0
50605.910,0
50755.040,0
50907.090,0
51061.587,0
51348.439,0
51530.013,0
51784.529,0
51958.503,0
52115.661,0
52362.263,0
52599.456,0
52760.209,0
52979.357,0
53232.031,0
53438.574,0
53635.223,0
53831.609,0
54042.456,0
54202.921,0
54350.607,0
54512.692,0
54706.699,0
54849.580,0
55046.568,0
55247.091,0
55440.300,0
55634.592,0
55863.303,0
56104.862,0
56302.347,0
57039.942,0
57325.328,0
57530.907,0
57877.848,0
58092.496,0
58343.800,0
58555.980,0
58753.531,0
59003.668,0
59224.147,0
59434.699,0
59652.772,0
59854.751,0
60095.402,0
60287.728,0
60509.622,0
60719.413,0
60966.786,0
61194.676,0
61388.453,0
61580.872,0
61802.554,0
61972.438,0
62146.837,0
62311.760,0
62467.464,0
62641.838,0
62816.783,0
62993.822,0
63156.736,0
63312.071,0
63485.411,0
63659.116,0
63837.071,0
64011.774,0
64228.948,0
64418.848,0
64592.459,0
64749.819,0
64925.573,0
65081.657,0
65248.163,0
65795.968,0
65941.847,0
66128.318,0
66361.752,0
66541.918,0
66802.313,0
67034.294,0
67188.502,0
67331.118,0
67468.768,0
67619.698,0
67756.329,0
67896.170,0
68075.343,0
68212.791,0
68350.904,0
68490.243,0
68627.190,0
68813.195,0
68965.670,0
69111.387,0
69259.063,0
69404.152,0
69538.902,0
69679.469,0
69820.900,0
69961.552,0
70100.940,0
70257.279,0
70510.400,0
70670.631,0
70833.711,0
70991.006,0
71167.749,0
71341.162,0
71507.612,0
71779.638,0
71991.509,0
72184.542,0
72369.033,0
72544.575,0
72720.167,0
72896.363,0
73483.649,0
73628.582,0
73780.661,0
73919.202,0
74056.938,0
74193.652,0
74590.413,0
74820.524,0
75090.497,0
75287.566,0
75491.300,0
75705.424,0
75898.712,0
76092.211,0
76287.518,0
76443.993,0
76584.889,0
76740.702,0
76879.976,0
77018.458,0
77156.512,0
77303.614,0
77444.292,0
77583.450,0
77719.050,0
77860.810,0
77999.222,0
78168.609,0
78394.381,0
78582.964,0
78770.446,0
78958.470,0
79140.508,0
79314.532,0
79488.427,0
79668.373,0
79835.880,0
80010.444,0
80176.084,0
80359.658,0
80526.808,0
80793.869,0
81005.363,0
81687.506,0
82018.163,0
82210.776,0
82374.051,0
82542.496,0
82736.399,0
82911.578,0
83072.866,0
83265.954,0
83534.956,0
83767.985,0
83995.435,0
84233.072,0
84464.156,0
84656.352,0
84846.443,0
85038.312,0
85258.853,0
85451.240,0
85649.127,0
85841.278,0
86034.728,0
86266.362,0
86437.320,0
86634.473,0
86870.067,0
87065.755,0
87259.350,0
87451.402,0
87643.906,0
87841.663,0
88038.084,0
88240.131,0
88431.325,0
88603.679,0
88826.838,0
89029.406,0
89249.327,0
89445.056,0
89657.329,0
89853.077,0
90045.431,0
90657.284,0
90850.147,0
91096.092,0
91290.594,0
91505.054,0
91697.389,0
91934.550,0
92096.300,0
92249.014,0
92406.779,0
92603.159,0
92796.635,0
93031.836,0
93246.774,0
93437.164,0
93628.639,0
93820.692,0
94047.561,0
94270.963,0
94466.734,0
94658.666,0
94888.658,0
95079.718,0
95259.488,0
95453.078,0
95647.286,0
95844.020,0
96056.867,0
96329.666,0
96520.132,0
96747.428,0
97093.693,0
97390.121,0
97672.888,0
97915.581,0
98076.822,0
98239.530,0
98390.576,0
98592.600,0
98752.637,0
98922.041,0
99074.845,0
99221.984,0
99695.156,0
99861.462,0
100011.878,0
100163.317,0
100349.888,0
100498.378,0
100644.588,0
100872.177,0
101126.244,0
101280.839,0
101576.115,0
101810.549,0
101967.051,0
102104.000,0
102262.518,0
102424.453,0
102561.692,0
102698.050,0
102936.192,0
103078.904,0
103216.419,0
103355.553,0
103495.565,0
103703.156,0
103849.181,0
104046.103,0
104307.842,0
104503.606,1
104692.798,1
104919.600,1
105119.043,1
105352.133,1
105577.051,1
105772.517,1
105951.768,1
106177.482,1
106372.837,1
106567.640,1
106766.124,1
106958.542,1
107551.212,1
107707.804,1
107911.856,1
108088.261,1
108282.665,1
108477.550,1
108674.092,1
108847.996,1
109010.185,1
109244.796,1
109406.098,1
109578.307,1
109742.530,1
109939.544,1
110134.322,1
110310.133,1
110504.317,1
110698.839,1
110913.519,1
111085.157,1
111314.193,1
111524.944,1
111696.103,1
111891.035,1
112084.715,1
112278.626,1
112482.320,1
112684.284,1
112881.364,1
113050.934,1
113328.957,1
113525.550,1
113694.880,1
113889.467,1
114081.808,1
114276.065,1
114471.004,1
114664.253,1
114859.448,1
115478.843,1
115676.126,1
115871.458,1
116127.692,1
116383.370,1
116587.511,1
116802.525,1
117026.275,1
117342.854,1
117564.724,1
117758.653,1
117956.931,1
118110.230,1
118317.953,1
118477.576,1
118760.782,1
118944.201,1
119123.497,1
119284.891,1
119461.155,1
119622.539,1
119800.058,1
119977.337,1
120155.264,1
120320.502,1
120481.753,1
120645.135,1
120801.035,1
121004.476,1
121289.518,1
121481.578,1
121657.867,1
121849.694,1
122094.055,1
122275.386,1
122456.214,1
122620.620,1
122797.000,1
122960.300,1
123522.125,1
123714.454,1
123906.149,1
124100.690,1
124296.645,1
124494.624,1
124724.759,1
124912.735,1
125066.119,1
125326.192,1
125492.948,1
125647.629,1
125816.011,1
125977.211,1
126125.877,1
126294.298,1
126451.461,1
126619.488,1
126813.923,1
126979.513,1
127173.846,1
127365.792,1
127560.052,1
127752.412,1
128002.696,1
128263.719,1
128529.755,1
128734.233,1
128960.486,1
129118.965,1
129328.512,1
129637.627,1
129820.867,1
129984.649,1
130239.032,1
130431.888,1
130641.080,1
130814.705,1
130984.317,1
131160.428,1
131763.898,1
131958.774,1
132124.425,1
132280.641,1
132428.809,1
132582.400,1
132734.944,1
132887.609,1
133139.946,1
133306.415,1
133505.234,1
133676.749,1
133934.365,1
134135.282,1
134409.378,1
134704.859,1
135044.432,1
135333.497,1
135539.898,1
135812.259,1
136086.138,1
136318.902,1
136577.239,1
136803.799,1
137022.913,1
137347.587,1
137555.249,1
137873.584,1
138179.125,1
138365.580,1
138565.440,1
138810.959,1
139016.738,1
139268.124,1
139520.172,1
139743.909,1
139957.866,1
140186.535,1
140389.655,1
140950.363,1
141185.805,1
141358.385,1
141578.281,1
141771.370,1
141970.391,1
142199.805,1
142405.989,1
142615.997,1
142890.846,1
143413.861,1
143753.705,1
143991.929,1
144299.342,1
144925.000,1
145411.858,1
145780.092,1
146086.153,1
146418.199,1
146731.485,1
147000.324,1
147223.613,1
147463.761,1
147705.500,1
147954.169,1
148138.048,1
148378.895,1
148642.182,1
148867.489,1
149050.402,1
149278.688,1
149521.460,1
149711.352,1
149954.918,1
150207.753,1
150400.975,1
150598.495,1
150833.788,1
151092.539,1
151341.966,1
151974.833,1
152149.660,1
152322.656,1
152518.489,1
152686.474,1
152870.377,1
153039.984,1
153304.434,1
153482.589,1
153723.180,1
153893.090,1
154082.648,1
154275.272,1
154505.006,1
154670.644,1
154835.512,1
155048.823,1
155214.538,1
155380.534,1
155573.507,1
155738.527,1
155906.850,1
156146.638,1
156311.229,1
156463.345,1
156626.641,1
156793.385,1
156984.285,1
157225.512,1
157398.560,1
157592.542,1
157747.183,1
157990.106,1
158220.138,1
158390.594,1
158596.886,1
158925.697,1
159193.630,1
159358.695,1
160180.381,1
160381.307,1
160550.666,1
160716.966,1
160871.440,1
161028.746,1
161201.132,1
161374.150,1
161541.441,1
161702.972,1
161870.333,1
162111.688,1
162308.385,1
162477.457,1
162649.813,1
162835.970,1
162987.088,1
163216.692,1
163381.895,1
163527.677,1
163694.675,1
163845.431,1
163990.834,1
164155.163,1
164320.144,1
164469.095,1
164631.575,1
164777.062,1
164966.338,1
165211.979,1
165435.979,1
165664.749,1
165885.417,1
166109.202,1
166317.005,1
166513.214,1
166682.126,1
166830.206,1
166978.712,1
167548.995,1
167714.247,1
167876.305,1
168036.216,1
168233.989,1
168384.901,1
168527.807,1
168716.121,1
168879.420,1
169033.926,1
169212.832,1
169366.866,1
169528.222,1
169672.250,1
169833.325,1
169976.882,1
170134.417,1
170322.028,1
170481.031,1
170639.212,1
170800.762,1
170961.924,1
171106.604,1
171250.473,1
171420.180,1
171573.203,1
